impl	case	pipeline	type	time	score
core-extend-transform	fast-mixed	20	str	32348.9279589653	1
core-passthrough	fast-mixed	20	str	31910.76212501526	1.0137309736518816
core-passthrough	fast-slow	20	str	31383.35754084587	1.0307669571957916
core-extend-transform	fast-slow	20	str	30932.80695796013	1.045780552761661
core-passthrough	fast-fast	20	str	30877.510459184647	1.047653372240798
core-passthrough	slow-fast	20	str	30782.21883392334	1.0508965625088527
core-extend-transform	slow-fast	20	str	30612.279416799545	1.0567304550739436
core-extend-transform	fast-fast	20	str	30514.069749832153	1.0601315466660504
core-passthrough	slow-slow	20	str	30440.37458395958	1.062698090975905
core-extend-transform	slow-slow	20	str	30285.33316707611	1.068138421344249
core-passthrough	fast-slow	1	str	1636.9020409584045	19.762287021173872
core-passthrough	slow-slow	1	str	1576.2104170322418	20.523229392096827
core-extend-transform	fast-mixed	1	str	1484.2210412025452	21.79522258541461
core-passthrough	fast-mixed	1	str	1469.4447920322418	22.014388110646024
core-passthrough	slow-fast	1	str	1462.309958934784	22.121799664504643
core-passthrough	fast-fast	1	str	1457.369541168213	22.196791579049144
core-extend-transform	fast-slow	1	str	1453.245125055313	22.259787699431673
core-extend-transform	slow-slow	1	str	1452.0763339996338	22.277704829650823
core-extend-transform	slow-fast	1	str	1442.7514998912811	22.421690749517822
core-extend-transform	fast-fast	1	str	1415.3659579753876	22.85552211898531
core-passthrough	fast-slow	20	defaults	309.2916250228882	104.5903779534005
core-extend-transform	fast-mixed	20	defaults	299.55041694641113	107.991597169943
core-passthrough	fast-mixed	20	defaults	290.7175419330597	111.27270732914332
core-extend-transform	fast-slow	20	defaults	277.2532501220703	116.67646076185787
core-passthrough	slow-slow	20	defaults	276.67433404922485	116.92059572540582
core-extend-transform	slow-slow	20	defaults	271.046875	119.34809415886201
core-passthrough	slow-fast	20	defaults	263.05920791625977	122.97204197947335
core-extend-transform	slow-fast	20	defaults	261.35354113578796	123.77459214206017
core-passthrough	fast-fast	20	defaults	246.28545904159546	131.34729141074402
core-extend-transform	fast-fast	20	defaults	242.2933750152588	133.51140103161333
minipass-current-async	slow-slow	20	defaults	176.85458302497864	182.91257939522208
minipass-current-async	fast-slow	20	defaults	167.81833291053772	192.76158568569616
minipass-current-async	fast-mixed	20	defaults	167.20274996757507	193.4712674596476
minipass-current-async	slow-slow	20	str	166.02983283996582	194.83804449858147
minipass-current-async	fast-fast	20	defaults	164.3801248073578	196.79342619356217
minipass-current-async	fast-slow	20	str	162.2190420627594	199.4151090255491
minipass-current-async	fast-mixed	20	str	161.45175004005432	200.362820167263
minipass-current-async	fast-fast	20	str	156.7847089767456	206.3270593802825
minipass-current-async	fast-mixed	20	obj	134.34225010871887	240.79489462761234
minipass-current-async	fast-slow	20	obj	133.96308302879333	241.47643684799633
core-extend-transform	fast-mixed	20	obj	129.61362504959106	249.5796869085976
core-passthrough	fast-mixed	20	obj	128.84325003623962	251.0719649641448
minipass-current-async	slow-slow	20	obj	127.8735420703888	252.9759278988192
core-passthrough	fast-slow	20	obj	126.46375012397766	255.79605165315994
minipass-current-async	fast-fast	20	obj	125.96362495422363	256.81166265833656
minipass-v3	fast-mixed	20	str	124.79616594314575	259.21411699220573
minipass-v3	fast-slow	20	str	124.49425005912781	259.84274730440455
core-extend-transform	fast-slow	20	obj	124.2115831375122	260.4340685614838
minipass-v4	slow-slow	20	str	123.68508315086365	261.5426786713481
extend-minipass-current	slow-slow	20	str	123.51199984550476	261.9091910051576
extend-minipass-current	fast-mixed	20	str	122.74500012397766	263.545789452047
minipass-v5	slow-slow	20	str	122.68854212760925	263.6670661985611
minipass-latest	slow-slow	20	str	122.18516683578491	264.7533149620509
minipass-current	slow-slow	20	str	122.02308297157288	265.1049880988622
minipass-latest	fast-mixed	20	str	120.48091697692871	268.49835451667343
minipass-v4	fast-slow	20	str	120.14249992370605	269.254659920576
minipass-v3	slow-slow	20	str	119.96637487411499	269.6499581062626
minipass-current	fast-slow	20	str	119.85637497901917	269.8974331955891
minipass-v4	fast-mixed	20	str	119.71024990081787	270.22688521464937
extend-minipass-current	fast-slow	20	str	119.46612501144409	270.77908449668456
minipass-latest	fast-slow	20	str	119.18562507629395	271.41635527151766
minipass-v5	fast-slow	20	str	119.16074991226196	271.4730142499423
minipass-v5	fast-mixed	20	str	119.14762496948242	271.5029188978875
minipass-current	fast-mixed	20	str	118.59824991226196	272.76058443439746
extend-minipass-current	slow-slow	20	defaults	115.68562483787537	279.6278967615888
minipass-current	slow-slow	20	defaults	114.9782497882843	281.3482377626302
minipass-v4	slow-slow	20	defaults	114.11229205131531	283.4832898143722
extend-minipass-current	fast-mixed	20	defaults	113.75462508201599	284.37461716956153
minipass-latest	slow-slow	20	defaults	113.54299998283386	284.90464373722745
minipass-v5	slow-slow	20	defaults	113.02391600608826	286.2131228688162
minipass-current	fast-slow	20	defaults	112.8249580860138	286.7178371500357
minipass-v3	fast-mixed	20	defaults	112.7664577960968	286.8665788674352
extend-minipass-current	fast-slow	20	defaults	112.71425008773804	286.99945156698936
minipass-v3	fast-slow	20	defaults	112.68245792388916	287.0804254271347
minipass-current	fast-mixed	20	defaults	112.22262501716614	288.25673926284514
minipass-v5	fast-mixed	20	defaults	110.05741691589355	293.9277412233518
minipass-v4	fast-mixed	20	defaults	110.00562500953674	294.0661257654858
minipass-latest	fast-mixed	20	defaults	109.3677499294281	295.7812333145662
minipass-v4	fast-slow	20	defaults	109.29241704940796	295.98510886936725
minipass-latest	fast-slow	20	defaults	109.13374996185303	296.41543491607916
minipass-v5	fast-slow	20	defaults	109.11375021934509	296.46976567056043
minipass-v3	slow-slow	20	defaults	108.75849986076355	297.43815886003887
extend-minipass-current	slow-slow	20	obj	95.79333400726318	337.69497944932743
minipass-v4	slow-slow	20	obj	95.43070816993713	338.97818196382156
minipass-current	slow-slow	20	obj	95.23783302307129	339.66467875354533
core-passthrough	slow-slow	20	obj	95.23049998283386	339.6908339743725
core-extend-transform	slow-slow	20	obj	94.80037498474121	341.23206753319374
minipass-v3	fast-mixed	20	obj	94.15024995803833	343.58833856928516
minipass-latest	slow-slow	20	obj	94.0842502117157	343.8293644916256
minipass-v5	slow-slow	20	obj	93.84029197692871	344.72322365448855
minipass-v3	fast-slow	20	obj	93.80837512016296	344.84051042914075
minipass-current	fast-slow	20	obj	93.4788339138031	346.05617768824834
minipass-v3	slow-slow	20	obj	92.20295882225037	350.8447925334786
extend-minipass-current	fast-mixed	20	obj	89.51083302497864	361.3967926087572
minipass-current	fast-mixed	20	obj	89.4826250076294	361.5107173734252
minipass-v4	fast-mixed	20	obj	89.30245780944824	362.24006317934476
extend-minipass-current	fast-slow	20	obj	88.86787509918213	364.01149372438425
minipass-latest	fast-slow	20	obj	88.77216601371765	364.4039501521967
minipass-v4	fast-slow	20	obj	88.43941688537598	365.7750028009785
minipass-latest	fast-mixed	20	obj	88.43137502670288	365.8082660051047
minipass-v5	fast-mixed	20	obj	88.40920901298523	365.8999816887176
minipass-v5	fast-slow	20	obj	87.87933301925659	368.1062070859918
minipass-current-async	slow-fast	20	str	87.39795804023743	370.133681430773
minipass-current-async	slow-fast	20	defaults	85.04554104804993	380.37182855581415
